Họ và Tên,Ngày Sinh,Vị Trí,Câu Lạc Bộ,Số Áo
Nguyễn Văn Toản,26/11/1999,Thủ Môn,Việt Nam,23
Bùi Tấn Trường,19/02/1986,Tiền Đạo,Việt Nam,24
Nguyễn Văn Hoàng,17/02/1995,Thủ Môn,Việt Nam,25
Nguyễn Quang Hải,12/04/1997,Tiền Vệ,Việt Nam,19
Lương Xuân Trường,28/04/1995,Tiền Vệ,Việt Nam,6
Nguyễn Hai Long,27/08/2000,Tiền Vệ,Việt Nam,38
Nguyễn Văn Toàn,12/04/1996,Tiền Đạo,Việt Nam,9
Nguyễn Công Phượng,21/01/1995,Tiền Đạo,Việt Nam,10
Đỗ Duy Mạnh,26/09/1996,Hậu Vệ,Việt Nam,2
Quế Ngọc Hải,15/05/1993,Hậu Vệ,Việt Nam,3
Hồ Tấn Tài,06/11/1997,Hậu Vệ,Việt Nam,35
Đoàn Văn Hậu,19/04/1999,Hậu Vệ,Việt Nam,5
Nguyễn Phong Hồng Duy,13/06/1996,Hậu Vệ,Việt Nam,7
Phan Văn Đức,11/04/1996,Tiền Vệ,Việt Nam,20
Trần Minh Vương,28/03/1995,Tiền Vệ,Việt Nam,26
Hà Đức Chinh,22/09/1997,Tiền Đạo,Việt Nam,18
Kawashima Eiji,20/03/1983,Thủ Môn,Nhật Bản,1
Gonda Shūichi,03/03/1989,Thủ Môn,Nhật Bản,2
Schmidt Daniel,03/02/1992,Thủ Môn,Nhật Bản,23
Nakamura Kosuke,27/02/1995,Thủ Môn,Nhật Bản,24
Ueda Naomichi,24/10/1994,Hậu Vệ,Nhật Bản,2
Muroya Sei,05/04/1994,Hậu Vệ,Nhật Bản,3
Shoji Gen,11/12/1992,Hậu Vệ,Nhật Bản,4
Nagatomo Yuto,12/09/1986,Hậu Vệ,Nhật Bản,5
Taniguchi Shogo,15/07/1991,Hậu Vệ,Nhật Bản,6
Ogawa Ryoya,24/11/1996,Hậu Vệ,Nhật Bản,16
Sasaki Sho,02/10/1989,Hậu Vệ,Nhật Bản,19
Nakatani Shinnosuke,24/03/1996,Hậu Vệ,Nhật Bản,20
Yamane Miki,22/12/1993,Hậu Vệ,Nhật Bản,22
Morita Hidemasa,10/05/1995,Tiền Vệ,Nhật Bản,7
Haraguchi Genki,09/05/1991,Tiền Vệ,Nhật Bản,8
Kamada Daichi,05/08/1996,Tiền Vệ,Nhật Bản,9
Furuhashi Kyogo,20/01/1995,Tiền Vệ,Nhật Bản,11
Hashimoto Kento,16/08/1993,Tiền Vệ,Nhật Bản,13
Ito Junya,09/03/1993,Tiền Đạo,Nhật Bản,14
Sakamoto Tatsuhiro,22/10/1996,Tiền Vệ,Nhật Bản,17
Kawabe Hayao,08/09/1995,Tiền Vệ,Nhật Bản,21
Onaiwu Ado,08/11/1995,Tiền Đạo,Nhật Bản,15
Asano Takuma,10/11/1994,Tiền Đạo,Nhật Bản,18
Mohammed Al-Owais,01/11/1999,Thủ Môn,Arab Saudi,1
Mohammed Al Rubaie,02/02/1986,Thủ Môn,Arab Saudi,2
Yasser Al-Shahrani,03/02/1995,Hậu Vệ,Arab Saudi,3
Mohammed Al-Breik,04/04/1997,Hậu Vệ,Arab Saudi,5
Ali Al-Bulaihi,05/04/1995,Hậu Vệ,Arab Saudi,6
Mohammed Al-Khabrani,06/08/2000,Hậu Vệ,Arab Saudi,8
Sultan Al-Ghanam,07/04/1996,Hậu Vệ,Arab Saudi,9
Hassan Tambakti,08/01/1995,Hậu Vệ,Arab Saudi,10
Fahad Al-Muwallad,09/09/1996,Tiền Vệ,Arab Saudi,11
Salman Al-Faraj (captain),10/05/1993,Tiền Vệ,Arab Saudi,12
Abdullah Otayf,11/11/1997,Tiền Vệ,Arab Saudi,18
Abdulellah Al-Malki,12/04/1999,Tiền Vệ,Arab Saudi,13
Abdulrahman Ghareeb,13/06/1996,Tiền Vệ,Arab Saudi,14
Abdullah Al-Hamdan,14/04/1996,Tiền Đạo,Arab Saudi,15
Firas al-Buraikan,15/03/1995,Tiền Đạo,Arab Saudi,23
Saleh Al-Shehri,16/09/1997,Tiền Đạo,Arab Saudi,19
Yan Junling,17/03/1983,Thủ Môn,Trung Quốc,15
Wang Dalei,18/03/1989,Thủ Môn,Trung Quốc,18
Zhang Linpeng,19/02/1992,Hậu Vệ,Trung Quốc,1
Yu Dabao,20/02/1995,Hậu Vệ,Trung Quốc,4
Wang Shenchao,21/10/1994,Hậu Vệ,Trung Quốc,3
Gao Zhunyi,22/04/1994,Hậu Vệ,Trung Quốc,5
Wang Gang,23/12/1992,Hậu Vệ,Trung Quốc,13
Li Ang,24/09/1986,Tiền Vệ,Trung Quốc,14
Hao Junmin,25/07/1991,Tiền Vệ,Trung Quốc,15
Chi Zhongguo,26/11/1996,Tiền Vệ,Trung Quốc,20
Jin Jingdao,27/10/1989,Tiền Vệ,Trung Quốc,19
Yin Hongbo,28/03/1996,Tiền Vệ,Trung Quốc,2
Wu Lei,29/12/1993,Tiền Vệ,Trung Quốc,23
Wei Shihao,30/05/1995,Tiền Đạo,Trung Quốc,24
Zhang Yuning,01/05/1991,Tiền Đạo,Trung Quốc,25
Elkeson,02/08/1996,Tiền Đạo,Trung Quốc,26
Aloísio,03/01/1995,Tiền Đạo,Trung Quốc,27
Ba Dun,04/08/1993,Tiền Đạo,Trung Quốc,28
